Name,Price,Url,Brand,Length (mm),Gauge (ring),Type
Wide Churchills,123.0,https://cognachuset.dk/shop/romeo-y-julieta-1335p.html,Romeo Y Julieta,130,55,Montesco
,163.0,https://cognachuset.dk/shop/romeo-y-julieta-1326p.html,Romeo Y Julieta,178,47,Churchill
s Tubos,188.0,https://cognachuset.dk/shop/romeo-y-julieta-806p.html,Romeo Y Julieta,178,47,Churchill
Belicosos,117.0,https://cognachuset.dk/shop/sancho-panza-belicosos-1341p.html,Sancho Panza,140,52,Pyramide Grande
Mocambo,22.0,https://cognachuset.dk/shop/santa-clara-mocambo-1364p.html,Santa Clara,127,50,Robusto
Mocambo,25.0,https://cognachuset.dk/shop/santa-clara-mocambo-1366p.html,Santa Clara,150,50,Toro
Special Edition,59.0,https://cognachuset.dk/shop/santa-clara-special-1983p.html,Santa Clara,127,50,Robusto
Chicos cherry 10 stk.,79.0,https://cognachuset.dk/shop/santa-clara-chicos-1368p.html,Santa Clara,92,28,Mini
Chicos vanilla 10 stk.,79.0,https://cognachuset.dk/shop/santa-clara-chicos-1369p.html,Santa Clara,92,28,Mini
Special Edition  Tubos,89.0,https://cognachuset.dk/shop/santa-clara-special-1868p.html,Santa Clara,178,50,Churchill
Reyes,82.0,https://cognachuset.dk/shop/trinidad-reyes-871p.html,Trinidad,110,40,Petit Corona
Fundadores,205.0,https://cognachuset.dk/shop/trinidad-fundadores-509p.html,Trinidad,192,40,Grand Panatela
Minutos,32.0,https://cognachuset.dk/shop/vegafina-minutos-1214p.html,VegaFina,100,30,Puritos
Fortaleza 2,75.0,https://cognachuset.dk/shop/vegafina-fortaleza-2-1600p.html,VegaFina,103,52,Short Belicosos
Tubos,84.0,https://cognachuset.dk/shop/vegafina-short-robusto-1212p.html,VegaFina,105,50,Short Robusto
Nicaragua,95.0,https://cognachuset.dk/shop/vegafina-nicaragua-robusto-1621p.html,VegaFina,127,50,Robusto
Fortaleza 2 Rum Barrel aged - Limited Edition,130.0,https://cognachuset.dk/shop/vegafina-fortaleza-2-1852p.html,VegaFina,146,52,Salomon
Familiar,108.0,https://cognachuset.dk/shop/vegas-robaina-familiar-1337p.html,Vegas Robaina,142,42,Corona
Clasicos,119.0,https://cognachuset.dk/shop/vegas-robaina-clasicos-955p.html,Vegas Robaina,165,42,Lonsdale
Don Alejandro,190.0,https://cognachuset.dk/shop/vegas-robaina-don-1336p.html,Vegas Robaina,194,49,Prominente
